RATING,TITLE,VERIFIED,TEXT,DATE
5.0 out of 5 stars,Up there with the Super Nintendo,Verified Purchase,"Probably the best console Nintendo have ever made, stands alongside the SNES as a gaming great. 100s of games",Reviewed in the United Kingdom on 8 March 2020
5.0 out of 5 stars,Easy to set up! Love it!,Verified Purchase,"As somebody who has owned previous Nintendo consoles (Wii, Wii U, DS, DSI XL) i am in love with the switch!! It’s amazing, it’s kinda like the wii u and dsi combined and i love it! I recommend for anyone with kids 10+ and people who enjoyed the DS/DSI!",Reviewed in the United Kingdom on 21 January 2020
2.0 out of 5 stars,Disappointed,Verified Purchase,"The Nintendo Switch is a great product in terms if gaming. But my one has arrived with a problem. When I play with joycon login to the console, if I move a little bit I can hear a screw crossing the console inside. What can I do to fix it?",Reviewed in the United Kingdom on 26 June 2020
5.0 out of 5 stars,Nintendo Switch,Verified Purchase,"LOVE IT!!!!!! The joysticks are really convenience， it's not like the normal controller, it use your most comfortable posture,  but different from mobile phones. BUT IT !! You will definitely not regret it.",Reviewed in the United Kingdom on 25 October 2019
5.0 out of 5 stars,Excellent quality,Verified Purchase,Excellent console easy to set up and very entertaining,Reviewed in the United Kingdom on 29 November 2020
5.0 out of 5 stars,Fantastic Fun,Verified Purchase,"Brilliant console, alot of fun games, easy to setup, great option for kids",Reviewed in the United Kingdom on 9 October 2020
5.0 out of 5 stars,Great console,Verified Purchase,Arrived before expected and in good condition. The console itself is amazing. I had a Wii U before and was happy with it but the Switch is surprisingly amazing! Very happy with this purchase.,Reviewed in the United Kingdom on 16 April 2020
5.0 out of 5 stars,A great bit of kit,Verified Purchase,It’s light and portable and also connect to the tv.,Reviewed in the United Kingdom on 27 November 2020
5.0 out of 5 stars,Amazing purchase,Verified Purchase,The item is in amazing condition it works perfectly I'm happy with with delivery time.,Reviewed in the United Kingdom on 29 January 2021
5.0 out of 5 stars,Great console,Verified Purchase,Lots of fun and includes several cool features,Reviewed in the United Kingdom on 24 November 2020
5.0 out of 5 stars,great bit of kit,Verified Purchase,6 year old daughter is loving it as is the wife :),Reviewed in the United Kingdom on 13 January 2021
5.0 out of 5 stars,Fun and easy to connect to your TV,Verified Purchase,Was a present for my wife and she absolutely loves it.,Reviewed in the United Kingdom on 1 November 2020
5.0 out of 5 stars,"Bought for Xmas on prime deal day ,not used yet,kids will love it",Verified Purchase,"Bought as gift will update in future,kids will love it",Reviewed in the United Kingdom on 14 October 2020
5.0 out of 5 stars,KENNY H,Verified Purchase,Excellent bought for my Wife Alison's Christmas as she suffers from MS and it's great for having the Switch on the  TV.,Reviewed in the United Kingdom on 8 January 2020
3.0 out of 5 stars,The colors... ugh,Verified Purchase,They are not as good as they look in these pictures. Get the grey one.,Reviewed in the United Kingdom on 8 July 2020
5.0 out of 5 stars,Great device,Verified Purchase,Great device- finally i have my tablet back to myself. Love the size and portability and my kid is now sooo good at doing chores in order to play 😂,Reviewed in the United Kingdom on 21 January 2020
5.0 out of 5 stars,Easy and versatile,Verified Purchase,A bit pricey but worth the money .Didn't have any Nintendo since the game cube and this is a good console .My lovely fat wife who never played any video game really enjoy playing with or Vs me .,Reviewed in the United Kingdom on 29 February 2020
5.0 out of 5 stars,Amazing,Verified Purchase,Such a great purchase! I am a gamer on all platforms and my partner rarely games but this has been something we both love to play on!,Reviewed in the United Kingdom on 20 January 2020
5.0 out of 5 stars,Awesome Nintendo Switch,Verified Purchase,It’s a Nintendo Switch....it’s awesome,Reviewed in the United Kingdom on 28 March 2021
5.0 out of 5 stars,Very good,Verified Purchase,"My son is very happy with this, good product",Reviewed in the United Kingdom on 9 April 2021
5.0 out of 5 stars,As described,Verified Purchase,"As described, my grandson loves this.",Reviewed in the United Kingdom on 2 May 2021
5.0 out of 5 stars,Brill,Verified Purchase,Brilliant and easy to set up and play,Reviewed in the United Kingdom on 18 November 2020
5.0 out of 5 stars,Son Loves It!,Verified Purchase,Just as described.  Arrived earlier than estimated.  Son's in heaven.  What more can I ask for...,Reviewed in the United Kingdom on 5 March 2020
5.0 out of 5 stars,Brilliant device,Verified Purchase,My grandchildren are over the moon with the switch brilliant little device to play at home or out and about,Reviewed in the United Kingdom on 19 January 2020
5.0 out of 5 stars,great console to make you feel nostalgic,Verified Purchase,"arrived next day, good packaging, nice and compact... VERY easy to set up and just plug and play.bought Mario Kart (obviously) and been addicted to it since around 6pm last night.not sure why i waited so long to buy this little beauty, hindsight is a beautiful thing.",Reviewed in the United Kingdom on 18 December 2019
5.0 out of 5 stars,Great product,Verified Purchase,"Arrived quickly, well packaged and brand new. Couldn't have got through lockdown without it",Reviewed in the United Kingdom on 20 June 2020
5.0 out of 5 stars,No complaints,Verified Purchase,Bought as a present had no complaints from recipients,Reviewed in the United Kingdom on 4 May 2021
5.0 out of 5 stars,Great console,Verified Purchase,Easy to set up. My son loves it.,Reviewed in the United Kingdom on 17 December 2020
5.0 out of 5 stars,Fantastic game console,Verified Purchase,Fabulous my son loves this plays most of the time,Reviewed in the United Kingdom on 21 January 2021
4.0 out of 5 stars,quick delivery,Verified Purchase,So I paid over the odds but that was my choice as I wanted it for my sons birthday. They said over a week for delivery but it arrived the next day. Very happy,Reviewed in the United Kingdom on 18 April 2020
5.0 out of 5 stars,Present,Verified Purchase,The perfect Christmas present,Reviewed in the United Kingdom on 17 January 2021
5.0 out of 5 stars,amazing,Verified Purchase,Glad to open and find what I had ordered as a present - it was there. Superb.,Reviewed in the United Kingdom on 19 January 2021
5.0 out of 5 stars,Very Happy,Verified Purchase,Very happy with my product,Reviewed in the United Kingdom on 23 January 2021
5.0 out of 5 stars,Great Console,Verified Purchase,Great console by Nintendo.,Reviewed in the United Kingdom on 6 January 2021
5.0 out of 5 stars,"Great console, expensive games",Verified Purchase,"Great console AND great portable, battery lasts alot and you can play some pretty cool games on it.Just mind the game prices before you buy, it's not cheap",Reviewed in the United Kingdom on 30 December 2019
5.0 out of 5 stars,Easy setup,Verified Purchase,Easy to setup and use straight from the box.,Reviewed in the United Kingdom on 8 October 2020
5.0 out of 5 stars,Long wait but worth it,Verified Purchase,"It took FOREVER to arrive, like 3 months, but it's worth the waiting. Love this console, and the games options.",Reviewed in the United Kingdom on 17 October 2020
5.0 out of 5 stars,Best handheld ever.,Verified Purchase,"Great system, great quality and great games.So versatile, its as good as many desktop systems.",Reviewed in the United Kingdom on 24 February 2020
5.0 out of 5 stars,Brilliant.,Verified Purchase,I bought this for my five year old and he absolutely loves it. Being able to switch from the tv to console is really convenient and the games are brilliant. Has also been great to play with family over Christmas.,Reviewed in the United Kingdom on 3 January 2020
5.0 out of 5 stars,Amazing machine!,Verified Purchase,I love the switch! Struggled to get hold of one but finally managed to pre order mine. It was due to arrive on 1st May but ended up arriving on the 17th April! Definitely recommend the Nintendo Switch!,Reviewed in the United Kingdom on 21 April 2020
5.0 out of 5 stars,combo is cheaper,Verified Purchase,bettew deal of one switch+Pokemon shield than official website. Good quality product. enjoyed Pokemon this weekend,Reviewed in the United Kingdom on 2 December 2019
5.0 out of 5 stars,Great 🎂 gift,Verified Purchase,arrived WAY sooner than expected! Going to have one very happy 9 year old!,Reviewed in the United Kingdom on 11 April 2020
5.0 out of 5 stars,2 Thumbs Up,Verified Purchase,Enjoying Ring fit and other games. Very happy for the price,Reviewed in the United Kingdom on 23 July 2020
5.0 out of 5 stars,Great,Verified Purchase,"I love this Nintendo, let’s say I’m a little bit addicted to it ! .",Reviewed in the United Kingdom on 12 July 2020
5.0 out of 5 stars,Great console!,Verified Purchase,"Very good console.It's a Switch, what's not to love? ;)",Reviewed in the United Kingdom on 12 May 2020
5.0 out of 5 stars,Great,Verified Purchase,My girl loves this,Reviewed in the United Kingdom on 14 January 2021
5.0 out of 5 stars,Good console,Verified Purchase,"I'm not a Nintendo fan, but this console is worth having to keep the gamer in you alive. You can take it with you, play on the TV. So far, not impressed on the TV. Not HD.",Reviewed in the United Kingdom on 4 April 2021
5.0 out of 5 stars,Really good item,Verified Purchase,Really good item,Reviewed in the United Kingdom on 12 April 2021
5.0 out of 5 stars,As what can be expected,Verified Purchase,Bought for gift,Reviewed in the United Kingdom on 28 February 2021
5.0 out of 5 stars,Great machine,Verified Purchase,"Fantastic piece of equipment, great for kids and adults, if there's a downside it the price of the games",Reviewed in the United Kingdom on 26 February 2020
5.0 out of 5 stars,Lots of fun!,Verified Purchase,"Nintendo did it again, the Switch is all you ever wanted since the Game Boy 😉",Reviewed in the United Kingdom on 1 March 2020
5.0 out of 5 stars,Great games,Verified Purchase,Grandchildren love it,Reviewed in the United Kingdom on 20 February 2021
5.0 out of 5 stars,its a switch,Verified Purchase,Very good console feels a bit slippery though some rubber on it would be a good idea,Reviewed in the United Kingdom on 9 January 2020
5.0 out of 5 stars,Great,Verified Purchase,"Easy to use and durable, easy to hold either as a whole or separate.",Reviewed in the United Kingdom on 21 January 2021
5.0 out of 5 stars,Better then lite,Verified Purchase,Absolutely fantastic bit of kit bought this for my grandson for Christmas he loves it,Reviewed in the United Kingdom on 26 December 2019
3.0 out of 5 stars,Gift,Verified Purchase,Xmas present,Reviewed in the United Kingdom on 17 December 2020
5.0 out of 5 stars,Was delaying getting a switch for a long time,Verified Purchase,"Now that i got one i cannot stop playing . I come from pc gaming , and this is quite refreshing compared to , as all games on pc became quite stale.  I even got my girlfriend addicted to playing and she wants to buy one . I would highly recommend",Reviewed in the United Kingdom on 7 April 2020
5.0 out of 5 stars,Excellent value,Verified Purchase,Brought for my son who lbs it and good value for the money,Reviewed in the United Kingdom on 29 April 2020
5.0 out of 5 stars,Recommended,Verified Purchase,Brilliant,Reviewed in the United Kingdom on 6 December 2020
5.0 out of 5 stars,Can’t wait now,Verified Purchase,It’s a Xmas present,Reviewed in the United Kingdom on 20 October 2020
5.0 out of 5 stars,Good,Verified Purchase,Good price,Reviewed in the United Kingdom on 6 February 2021
5.0 out of 5 stars,Awesome,Verified Purchase,Really happy and easy to set up,Reviewed in the United Kingdom on 4 October 2020
5.0 out of 5 stars,Fantastic,Verified Purchase,"Couldn't be happier with this, arrived much quicker than expected! No complaints whatsoever",Reviewed in the United Kingdom on 19 April 2020
4.0 out of 5 stars,Its fun to play,Verified Purchase,Brought as a xmas present for my 24 years old son. He will have great time playing this. Over priced but then are they always.,Reviewed in the United Kingdom on 3 January 2020
5.0 out of 5 stars,Beautiful.,Verified Purchase,My daughter loves her Nintendo switch & console. Arrived in good time for her birthday as there is nothing else to do during this lockdown.  Fantastic product. Very pleased. Thank you.,Reviewed in the United Kingdom on 19 April 2020
5.0 out of 5 stars,"Easy to set up , graphics are brilliant.",Verified Purchase,"Brilliant for playing games and easy to set up . Better than Wii . If you have any medical conditions , easier to set up .",Reviewed in the United Kingdom on 3 June 2020
5.0 out of 5 stars,Perfect,Verified Purchase,"Came earlier than expected, especially in this current climate. Haven't put it down ever since",Reviewed in the United Kingdom on 15 May 2020
5.0 out of 5 stars,Great,Verified Purchase,"I love my switch, best thing I have bought",Reviewed in the United Kingdom on 20 February 2021
5.0 out of 5 stars,Ok,Verified Purchase,Ok,Reviewed in the United Kingdom on 3 April 2021
1.0 out of 5 stars,Don’t buy from this company if you have a fault they will ignore you,Verified Purchase,"Bought in January, product wasn’t working in April. No reply from this company and no refund so now I’ve lost £339 still got no response in may",Reviewed in the United Kingdom on 10 May 2021
1.0 out of 5 stars,"Item doesn't work, defective, returned.",Verified Purchase,"After 7 days both the charger and the console stopped working. The console will not charge. Returned, will NOT buy again.",Reviewed in the United Kingdom on 22 October 2020
5.0 out of 5 stars,"Nintendo switch machine is nice built 👌, kids are love it because it has variety colours.",Verified Purchase,None dislike about this game 🎮 sets.,Reviewed in the United Kingdom on 2 November 2020
5.0 out of 5 stars,great fun,Verified Purchase,absolutely love it,Reviewed in the United Kingdom on 19 October 2020
1.0 out of 5 stars,Terrible,Verified Purchase,Returned to amazon for repair and it’s came back today still broken. Terrible customer service and a heartbroken child who still hasn’t been able to play Christmas present. Controller will not charge,Reviewed in the United Kingdom on 10 February 2021
5.0 out of 5 stars,Nintendo switch console,Verified Purchase,Bought for my son and his partner for Christmas and they have hardly put it down.Came well packed and quickly.Excellent value and usual Nintendo quality.,Reviewed in the United Kingdom on 5 January 2020
5.0 out of 5 stars,Happy,Verified Purchase,Was a little late due to Xmas rush but came only a day late well packaged and can’t wait to see the boys faces at Xmas.,Reviewed in the United Kingdom on 17 December 2020
5.0 out of 5 stars,"As expected, great for lockdown!",Verified Purchase,Product arrived much quicker than expected (3 days early!) On standard free delivery which was great.Product itself as expected. I love the flexibility of being able to switch between the portable version and the big screen.,Reviewed in the United Kingdom on 11 June 2020
5.0 out of 5 stars,Perfect,Verified Purchase,It’s got dark souls on it. So it’s perfect,Reviewed in the United Kingdom on 6 February 2021
5.0 out of 5 stars,Everything ok,Verified Purchase,Everything ok,Reviewed in the United Kingdom on 23 September 2020
5.0 out of 5 stars,Good price,Verified Purchase,Perfect,Reviewed in the United Kingdom on 15 October 2020
5.0 out of 5 stars,Great product.,Verified Purchase,Love this and playing on it every day since I received it.Item came earlier then expected.,Reviewed in the United Kingdom on 2 February 2021
5.0 out of 5 stars,Easy to set up,Verified Purchase,"Bought for Grandson for Xmas. He’s hardly put it down. Great for on the tv, really easy to set up. Perfect for in the car and boring shopping trips. Win/win!!",Reviewed in the United Kingdom on 2 January 2020
5.0 out of 5 stars,Hell yer . Switch,Verified Purchase,"Love my switch, came quickly without any faults",Reviewed in the United Kingdom on 19 February 2021
4.0 out of 5 stars,the charger,Verified Purchase,the product was what my child expected but unfortunately the charger didn't come with a U K plug it has a American plug on it we didn't know this until Christmas morning when the product was opened. by luck we had an American adaptor which one of our relatives left in our house after he was here from Canada.,Reviewed in the United Kingdom on 26 December 2019
5.0 out of 5 stars,Thanks,Verified Purchase,Thanks,Reviewed in the United Kingdom on 6 April 2021
1.0 out of 5 stars,Poor,Verified Purchase,Hi I had the switch for 2 weeks and stopped working and was not charging at all I sent it back to you guys nearly 2 weekes ago and still haven’t heard any news onit ? Please could you let me know where it is up toThanks,Reviewed in the United Kingdom on 3 February 2021
5.0 out of 5 stars,Great value for money,Verified Purchase,"Nice bit of kit, great for kids to play games and easy to use",Reviewed in the United Kingdom on 26 January 2020
5.0 out of 5 stars,Very good,Verified Purchase,Good,Reviewed in the United Kingdom on 2 November 2020
5.0 out of 5 stars,Best companion during isolation,Verified Purchase,Excellent Product. I’ve checked lots of review about the second ver of switch and this is the one. Been playing for weeks and still doing great. Highly recommended to get during the isolation!,Reviewed in the United Kingdom on 27 March 2020
5.0 out of 5 stars,Amazing,Verified Purchase,Absouloutley delighted with the quality of this console.. Great console.No problems at all,Reviewed in the United Kingdom on 6 July 2020
5.0 out of 5 stars,Brilliant,Verified Purchase,Love it!! Highly recommend,Reviewed in the United Kingdom on 22 November 2020
5.0 out of 5 stars,Great,Verified Purchase,Great. It’s like a DS and Wii in one.,Reviewed in the United Kingdom on 17 May 2020
4.0 out of 5 stars,Good but expensive,Verified Purchase,A great bit of kit and my kids love it. A bit expensive.,Reviewed in the United Kingdom on 28 January 2020
4.0 out of 5 stars,Kids are enjoying,Verified Purchase,My children love it. The product seems expensive here compared to other sites though.,Reviewed in the United Kingdom on 28 May 2020
1.0 out of 5 stars,Nintendo is not working,Verified Purchase,"For the second time my Nintendo switch stops working,,i replaced it but seems like the problem is the Amazon because I think it’s the battery I wanna return it and get my money back. It hasn’t even been a month yet. Ridiculous.",Reviewed in the United Kingdom on 1 January 2021
5.0 out of 5 stars,Birthday present,Verified Purchase,My nephew super loves it,Reviewed in the United Kingdom on 17 September 2020
5.0 out of 5 stars,Great little console,Verified Purchase,Ideal to keep the kids happy when travelling on holiday.,Reviewed in the United Kingdom on 12 January 2020
5.0 out of 5 stars,Top of the range,Verified Purchase,Well.. It's Nintendo so always great,Reviewed in the United Kingdom on 5 August 2020
4.0 out of 5 stars,It is OK. It does the job. Nice and compact.,Verified Purchase,It is OK. It does the job. Nice and compact.,Reviewed in the United Kingdom on 1 March 2020
5.0 out of 5 stars,Worth the money,Verified Purchase,Bought as a present but he says its really good,Reviewed in the United Kingdom on 14 February 2020
5.0 out of 5 stars,👍,Verified Purchase,Brill,Reviewed in the United Kingdom on 26 October 2019
5.0 out of 5 stars,Great product,Verified Purchase,Great product very happy,Reviewed in the United Kingdom on 4 August 2020
1.0 out of 5 stars,Need more specification,Verified Purchase,"Purchased second hand, product never specified that it didn’t come with the JoyCons (controllers) so I can’t even set up the switch until I get hold of some controllers",Reviewed in the United Kingdom on 2 July 2020
5.0 out of 5 stars,great item,Verified Purchase,great item,Reviewed in the United Kingdom on 9 August 2020
5.0 out of 5 stars,great,Verified Purchase,Great product thanks works great,Reviewed in the United Kingdom on 16 June 2020
1.0 out of 5 stars,Don’t,Verified Purchase,Brought it for my daughter for Xmas opened it plugged it in and it didn’t work. It was brand new took two months for Amazon to try to fix it and they didn’t. Got part of my money back will never be using Amazon again.,Reviewed in the United Kingdom on 21 February 2021
5.0 out of 5 stars,Perfect for junior kids,Verified Purchase,Bought for my 9 year old and he loves it !,Reviewed in the United Kingdom on 10 April 2020
5.0 out of 5 stars,Love it!,Verified Purchase,Expensive but so much fun for the whole family.,Reviewed in the United Kingdom on 20 January 2020
5.0 out of 5 stars,Excellent,Verified Purchase,"Bought as a present, they are very satisfied and happy.",Reviewed in the United Kingdom on 8 December 2019
5.0 out of 5 stars,great to spend some furlough time on,Verified Purchase,"great graphics, easy to use, convenient play options from handheld to tv",Reviewed in the United Kingdom on 1 August 2020
1.0 out of 5 stars,This ain’t all that good.,Verified Purchase,This switch came with joy con drift and when I am playing on the TV the joy con buttons are really delayed. Please don’t sell poor quality things under “very good condition”.,Reviewed in the United Kingdom on 8 February 2020
5.0 out of 5 stars,Perfect,Verified Purchase,"I am so happy i finally managed to get my hands on a Switch! Been after one for year but could never afford one or they was out of stock. It arrived on time, which i'm happy about and it was very easy to set up. Well worth the buy!",Reviewed in the United Kingdom on 16 August 2020
5.0 out of 5 stars,Love it,Verified Purchase,"It is a fantastic console and you can take it anywhere at anytime, I recently bought games for it and it works really well I would definitely recommend it to all",Reviewed in the United Kingdom on 29 October 2020
5.0 out of 5 stars,good,Verified Purchase,hope could do more before i abandon it,Reviewed in the United Kingdom on 7 December 2020
5.0 out of 5 stars,Quick delivery,Verified Purchase,This was a birthday present for my youngest son. It was a difficult product to get hold of so I was delighted to be able to buy one and doubly so when it arrived several days before the estimated delivery date.,Reviewed in the United Kingdom on 17 January 2021
1.0 out of 5 stars,Defective,Verified Purchase,Arrived defective,Reviewed in the United Kingdom on 19 May 2020
5.0 out of 5 stars,Fun for little kids and big kids 😎,Verified Purchase,"Great console, kids love it.",Reviewed in the United Kingdom on 17 May 2020
5.0 out of 5 stars,Perfect,Verified Purchase,Best console,Reviewed in the United Kingdom on 16 January 2021
5.0 out of 5 stars,"Quick delivery, everything is perfect",Verified Purchase,"No complaints, came in two days even with the virus which is amazing!",Reviewed in the United Kingdom on 22 April 2020
4.0 out of 5 stars,Good,Verified Purchase,Good product,Reviewed in the United Kingdom on 7 August 2020
5.0 out of 5 stars,Great,Verified Purchase,"Perfect, thanks",Reviewed in the United Kingdom on 12 March 2021
5.0 out of 5 stars,Good,Verified Purchase,Works well as described easy to set up and play,Reviewed in the United Kingdom on 28 December 2019
5.0 out of 5 stars,Great gaming,Verified Purchase,Easy and good quality,Reviewed in the United Kingdom on 18 June 2020
5.0 out of 5 stars,You cant go wrong with this,Verified Purchase,Bought as a Christmas present for my family. Very happy. Easy to install and fun to use.,Reviewed in the United Kingdom on 30 December 2019
5.0 out of 5 stars,Brilliant,Verified Purchase,"I absolutely love the switch, no faults and came fast",Reviewed in the United Kingdom on 30 March 2021
5.0 out of 5 stars,Good,Verified Purchase,I got one during cover-19. Lucky!,Reviewed in the United Kingdom on 16 May 2020
5.0 out of 5 stars,Also great with Nintendo,Verified Purchase,"Amazing console, just wish the games weren't so expensive haha.",Reviewed in the United Kingdom on 22 February 2020
5.0 out of 5 stars,"Excellent, highly recommend",Verified Purchase,"Excellent product, great quality, swift delivery",Reviewed in the United Kingdom on 22 July 2020
5.0 out of 5 stars,Brilliant quality and good fun .,Verified Purchase,Brilliant quality and good fun .,Reviewed in the United Kingdom on 29 April 2020
5.0 out of 5 stars,Love it,Verified Purchase,V well made. Good selection of titles,Reviewed in the United Kingdom on 5 April 2021
5.0 out of 5 stars,Good,Verified Purchase,Like,Reviewed in the United Kingdom on 30 September 2020
1.0 out of 5 stars,Fraud,Verified Purchase,Very disappointed received 2 boxes of dog food instead of a switch,Reviewed in the United Kingdom on 14 April 2020
4.0 out of 5 stars,Good but expensive,Verified Purchase,"Good, slick product. Expensive purchase for Santa for the younger audience who Nintendo target.",Reviewed in the United Kingdom on 10 January 2020
5.0 out of 5 stars,Easy to set up.,Verified Purchase,"Bought as present  for Xmas , got text at 7am Christmas morning from father and daughter both loving playing on the switch.",Reviewed in the United Kingdom on 27 December 2019
5.0 out of 5 stars,Want one get one,Verified Purchase,Best buy ever ......,Reviewed in the United Kingdom on 26 February 2020
5.0 out of 5 stars,Brilliant,Verified Purchase,Brilliant,Reviewed in the United Kingdom on 5 March 2021
5.0 out of 5 stars,Brilliant,Verified Purchase,Best console ever,Reviewed in the United Kingdom on 2 March 2020
5.0 out of 5 stars,Kids love it,Verified Purchase,Kids love it,Reviewed in the United Kingdom on 22 March 2020
5.0 out of 5 stars,Does not work want refund,Verified Purchase,I want to return it and get refund,Reviewed in the United Kingdom on 28 January 2020
5.0 out of 5 stars,Good first console,Verified Purchase,"Bought this for my 7yr old, good fun for us both. Easy to set up even for him. Good first console",Reviewed in the United Kingdom on 9 January 2020
5.0 out of 5 stars,Arrived quick,Verified Purchase,"Arrived quickly, great",Reviewed in the United Kingdom on 19 January 2020
5.0 out of 5 stars,Great buy. Son loves it.,Verified Purchase,Really pleased with purchase. Son loves it. Can be wired up to tv or played as a handheld. Can be 2 player so both sons can play together.Only negative are the games are 40 quid each.,Reviewed in the United Kingdom on 9 January 2020
5.0 out of 5 stars,As described,Verified Purchase,Item as described really quick delivery,Reviewed in the United Kingdom on 13 October 2020
5.0 out of 5 stars,Very happy,Verified Purchase,"Perfect condition, arrived early, could not be happier.",Reviewed in the United Kingdom on 31 October 2020
5.0 out of 5 stars,Great fun,Verified Purchase,Love this,Reviewed in the United Kingdom on 22 March 2020
4.0 out of 5 stars,a good work-out alternative... and fun!,Verified Purchase,It's a good product.  A fun alternative to your usual work-out.,Reviewed in the United Kingdom on 20 January 2021
5.0 out of 5 stars,Nintendo switch 👌,Verified Purchase,"My son was very happy 😊💙and hi loved it I recommend for everyone, very fast delivery  so I give 5 started 😊👍",Reviewed in the United Kingdom on 13 May 2021
5.0 out of 5 stars,Right balance between price and Nintendo quality,Verified Purchase,Fantastic device with some Nintendo exclusive games. You can top that with many indie games being ported. There are hundreds of games being released weekly and you will for sure find something that works for you.,Reviewed in the United Kingdom on 9 March 2020
5.0 out of 5 stars,Fantastic,Verified Purchase,"Brilliant console, great for playing at home or when out and about, really happy that I got it.",Reviewed in the United Kingdom on 21 January 2020
5.0 out of 5 stars,Very good item,Verified Purchase,Very good value for money my grandson loves it,Reviewed in the United Kingdom on 28 October 2020
5.0 out of 5 stars,Super,Verified Purchase,My granddaughter loves it,Reviewed in the United Kingdom on 3 January 2021
5.0 out of 5 stars,Clever bit of kit,Verified Purchase,Very good and very clever,Reviewed in the United Kingdom on 28 January 2020
5.0 out of 5 stars,My son loves it,Verified Purchase,Great game and compact,Reviewed in the United Kingdom on 12 January 2020
5.0 out of 5 stars,Quick delivery,Verified Purchase,Very quick delivery & good price.  Put away now for Xmas.,Reviewed in the United Kingdom on 28 October 2020
5.0 out of 5 stars,Loves it,Verified Purchase,Much sort after xmas present,Reviewed in the United Kingdom on 14 January 2020
5.0 out of 5 stars,Great buy,Verified Purchase,Great buy! Bought it for my son's birthday present. Arrived the next day with his fav game animal crossing.,Reviewed in the United Kingdom on 22 March 2021
5.0 out of 5 stars,Just the job,Verified Purchase,My son loves his NS Switch - enough said!,Reviewed in the United Kingdom on 15 February 2021
5.0 out of 5 stars,amazing,Verified Purchase,thank you for early delivery,Reviewed in the United Kingdom on 20 April 2020
5.0 out of 5 stars,They say it’sgreat,Verified Purchase,Grandchildren love it,Reviewed in the United Kingdom on 19 March 2020
5.0 out of 5 stars,No arguments.,Verified Purchase,Bought as an extra,Reviewed in the United Kingdom on 31 December 2019
5.0 out of 5 stars,Switch,Verified Purchase,Lovely console.It got delivered much sooner  than expected and Amazon kept us posted along the way.,Reviewed in the United Kingdom on 22 March 2020
5.0 out of 5 stars,Great product!,Verified Purchase,"It's a great product! As a pc gamer, this is a really nice alternative on the days when you're not in the mood to play anything serious or when you're travelling!",Reviewed in the United Kingdom on 29 January 2020
5.0 out of 5 stars,Easier to use,Verified Purchase,Very nice,Reviewed in the United Kingdom on 28 January 2020
5.0 out of 5 stars,great family fun,Verified Purchase,great family fun,Reviewed in the United Kingdom on 5 May 2020
5.0 out of 5 stars,Great console,Verified Purchase,We've had hours of fun. One of the best consoles made,Reviewed in the United Kingdom on 4 February 2020
5.0 out of 5 stars,console,Verified Purchase,perfect console,Reviewed in the United Kingdom on 30 November 2019
5.0 out of 5 stars,Nice,Verified Purchase,It’s a switch! Not much else to say,Reviewed in the United Kingdom on 5 September 2020
5.0 out of 5 stars,Amazing,Verified Purchase,"I bought it for my children and the love it, they enjoyed playing the games.",Reviewed in the United Kingdom on 21 October 2020
5.0 out of 5 stars,Hood device,Verified Purchase,Perfect buy for my son at xmas. Money well spent hes not put it down!,Reviewed in the United Kingdom on 8 January 2020
5.0 out of 5 stars,Useful worthy,Verified Purchase,i love switch so much. It brought much fun to me and my friends. I will play animals party on my own. And cooking games with my friends. It is worthy having switch.,Reviewed in the United Kingdom on 20 February 2021
5.0 out of 5 stars,Worth it,Verified Purchase,12yr old son loves it!,Reviewed in the United Kingdom on 19 January 2020
5.0 out of 5 stars,Nintendo Switch (Neon Red/Neon blue),Verified Purchase,Very good,Reviewed in the United Kingdom on 1 November 2019
1.0 out of 5 stars,Box not sealed.,Verified Purchase,"The box wasn't sealed, and the goods had obviously been moved about prior as the manual was creased. I purchased this NEW, from amazon ....",Reviewed in the United Kingdom on 19 December 2019
5.0 out of 5 stars,Happy kids,Verified Purchase,Absolutely fantastic games console. Would recommend to anyone kids and big kids .,Reviewed in the United Kingdom on 5 January 2020
5.0 out of 5 stars,great console,Verified Purchase,very good console very pleased with it,Reviewed in the United Kingdom on 15 November 2020
5.0 out of 5 stars,Great,Verified Purchase,Great family fun,Reviewed in the United Kingdom on 8 March 2021
5.0 out of 5 stars,Brilliant,Verified Purchase,Awesome console/handheld both myself and daughter have had hours of fun when traveling,Reviewed in the United Kingdom on 18 January 2020
5.0 out of 5 stars,Boi,Verified Purchase,Skyrim on the go what else do you need!The new Pokémon games alwellAnd you can't beat Smash and Mario Kart,Reviewed in the United Kingdom on 24 January 2020
5.0 out of 5 stars,Perfect Family Console,Verified Purchase,"By far the best family console out there, easy recommendation for all family households.",Reviewed in the United Kingdom on 9 April 2021
5.0 out of 5 stars,Spot on,Verified Purchase,"Nice , fun .",Reviewed in the United Kingdom on 6 April 2020
5.0 out of 5 stars,Must buy,Verified Purchase,Brilliant!,Reviewed in the United Kingdom on 19 February 2020
5.0 out of 5 stars,Value for money and my sanity,Verified Purchase,My teenage daughter brought this with her Christmas money and it’s the best thing she’s brought.. keeps her quiet.. so perfect,Reviewed in the United Kingdom on 3 March 2021
1.0 out of 5 stars,Broke,Verified Purchase,Had console less than a month and the game slot has jammed meaning I cannot remove game. Also cannot get through to Nintendo,Reviewed in the United Kingdom on 1 January 2020
